dataset,model,pool,hidden,layers,dropout,seed,best_val,test_score,metric,n_params,epochs_ran,seeds,val_mean,val_std,test_mean,test_std
ogbg-molhiv,linear,mean,64,4,0.5,0,0.63318,0.62302,rocauc,11201,35,"[0, 1, 2]",0.63318,0.00073,0.62302,0.00607
ogbg-molhiv,mlp,mean,64,4,0.5,0,0.68954,0.66865,rocauc,24065,60,"[0, 1, 2]",0.68954,0.00929,0.66865,0.00149
ogbg-molhiv,deepsets,sum,64,4,0.5,0,0.77999,0.70472,rocauc,28353,104,"[0, 1, 2]",0.77999,0.00106,0.70472,0.01052
ogbg-molhiv,deepsets,mean,64,4,0.5,0,0.76649,0.68089,rocauc,28353,61,"[0, 1, 2]",0.76649,0.00782,0.68089,0.00164
ogbg-molhiv,gin,mean,64,4,0.5,0,0.81534,0.75606,rocauc,79301,41,"[0, 1, 2]",0.81534,0.01406,0.75606,0.00691
ogbg-molhiv,gin,sum,64,4,0.5,0,0.82259,0.75501,rocauc,79301,102,"[0, 1, 2]",0.82259,0.00254,0.75501,0.00915
ogbg-molhiv,gcn,mean,64,4,0.5,0,0.80022,0.74201,rocauc,28353,37,"[0, 1, 2]",0.80022,0.00812,0.74201,0.0156
ogbg-molhiv,gcn,sum,64,4,0.5,0,0.81182,0.76823,rocauc,28353,85,"[0, 1, 2]",0.81182,0.00343,0.76823,0.00164
ogbg-molhiv,sage,mean,64,4,0.5,0,0.80865,0.75545,rocauc,44737,70,"[0, 1, 2]",0.80865,0.00842,0.75545,0.01015
ogbg-molhiv,sage,sum,64,4,0.5,0,0.81667,0.75985,rocauc,44737,69,"[0, 1, 2]",0.81667,0.01165,0.75985,0.00975
ogbg-molhiv,gat,mean,64,4,0.5,0,0.80003,0.73961,rocauc,146113,51,"[0, 1, 2]",0.80003,0.01629,0.73961,0.00243
ogbg-molhiv,gat,sum,64,4,0.5,0,0.81195,0.72496,rocauc,146113,68,"[0, 1, 2]",0.81195,0.00537,0.72496,0.0196
